,Unnamed: 0,State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,lat,long,lat,long
259,259,ABIA,IKWUANO,USAKA,01-05-10-005,"COMM. PRIMARY SCHOOL
EKWELU USAKA I",151,641,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,143,7,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1035/result_162229_1677505608_thumb.jpg,5.3365098,7.6343206,,
260,260,ABIA,IKWUANO,USAKA,01-05-10-006,"COMM. PRIMARY SCHOOL 
EKWELU USAKA II",77,523,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,8,58,6,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1036/result_162230_1677505948_thumb.jpg,5.4092921,7.5897372,,
268,268,ABIA,ISIALA NGWA NORTH,AMASAA NSULU,01-06-01-009,MBARAOGBOM / UMUAMATA / UMUEROGHA - C/S MBARAOGBOM,169,683,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,5,101,52,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1047/result_162243_1677581653_thumb.jpg,5.2868186,7.4165053,,
275,275,ABIA,ISIALA NGWA NORTH,UMUNNA NSULU,01-06-02-004,UMUODE I - CENT. SCHOOL UMUODE I,232,975,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,4,174,43,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/02/pu/004/004-1677424263.pdf,5.2868186,7.4165053,,
278,278,ABIA,ISIALA NGWA NORTH,UMUNNA NSULU,01-06-02-010,ULELU / UMUKASOANYA / UMUGBA / AGBURUIKE - MBUBO VILLAGE HALL,194,948,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,153,23,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3108/ward/17585/pu/1067/1067-1677506266.pdf,5.2868186,7.4165053,,
281,281,ABIA,ISIALA NGWA NORTH,UMUNNA NSULU,01-06-02-014,"IHIE/AMORJI/EKPIRI/UMUGWA/
UMUNKPUTU/UMUODECHIE
CENTRAL SCHOOL UBAHA",149,734,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,9,112,16,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/02/pu/014/014-1677424257.pdf,5.2868186,7.4165053,,
282,282,ABIA,ISIALA NGWA NORTH,ISIALA NSULU,01-06-03-001,OKPUALA / AMAWOM / ACHARA - EZIALA MKT. SQUARE,136,767,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,7,96,27,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1066/result_162274_1677505104_thumb.jpg,5.3747302,7.4094549,,
284,284,ABIA,ISIALA NGWA NORTH,ISIALA NSULU,01-06-03-003,"UMUOMAIKWU/ELUAMA/
AMAIYI/UMUIKPABA COMMUNITY
SCHOOL UMUOMAIKWU",228,924,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,34,107,49,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1068/result_162276_1677505531_thumb.jpg,5.3061306,7.4820928,,
293,293,ABIA,ISIALA NGWA NORTH,NGWA UKWU I,01-06-04-017,UMUNGWU / UMUOBIA / UMUOSI / UMULE - GROUP SCH. ABAYI,151,548,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,111,20,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/04/pu/017/017-1677406150.pdf,5.4,7.366667,,
311,311,ABIA,ISIALA NGWA NORTH,AMASAA NTIGHA,01-06-07-004,UMUKALU - VILLAGE HALL UKWUIHE,203,1011,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,9,155,39,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1119/result_162351_1677505887_thumb.jpg,5.3803853,7.4021848,,
